ResultID,StudentID,CourseID,ExamType,MarksObtained,MaxMarks,Grade
R0091,S124,C007,Midterm,65,100,C
R0092,S182,C018,Final,74,100,B
R0093,S191,C016,Final,89,100,A
R0094,S103,C007,Final,95,100,A
R0095,S051,C009,Final,52,100,D
R0096,S150,C019,Final,43,100,D
R0097,S053,C016,Final,51,100,D
R0098,S109,C020,Final,87,100,A
R0099,S160,C004,Final,70,100,B
R0100,S052,C019,Final,84,100,B
R0101,S162,C003,Final,77,100,B
R0102,S009,C017,Final,51,100,D
R0103,S076,C020,Final,82,100,B
R0104,S008,C004,Midterm,80,100,B
R0105,S110,C006,Final,71,100,B
R0106,S019,C007,Final,61,100,C
R0107,S038,C011,Midterm,77,100,B
R0108,S082,C001,Final,31,100,F
R0109,S120,C019,Final,57,100,C
R0110,S144,C003,Final,59,100,C
R0111,S155,C007,Midterm,66,100,C
R0112,S144,C009,Midterm,43,100,D
R0113,S175,C014,Final,83,100,B
R0114,S051,C007,Midterm,70,100,B
R0115,S128,C002,Final,93,100,A
R0116,S031,C004,Final,83,100,B
R0117,S154,C011,Final,51,100,D
R0118,S148,C001,Final,60,100,C
R0119,S165,C019,Midterm,32,100,F
R0120,S073,C005,Final,89,100,A
R0121,S137,C017,Midterm,34,100,F
R0122,S166,C001,Midterm,73,100,B
R0123,S025,C014,Final,90,100,A
R0124,S082,C012,Final,65,100,C
R0125,S143,C011,Final,40,100,D
R0126,S101,C010,Final,36,100,F
R0127,S165,C004,Final,93,100,A
R0128,S008,C008,Midterm,43,100,D
R0129,S036,C004,Final,31,100,F
R0130,S058,C006,Midterm,85,100,A
R0131,S186,C012,Midterm,54,100,D
R0132,S067,C002,Midterm,36,100,F
R0133,S078,C003,Final,36,100,F
R0134,S177,C020,Final,72,100,B
R0135,S179,C006,Midterm,64,100,C
R0136,S031,C005,Final,88,100,A
R0137,S193,C019,Final,48,100,D
R0138,S172,C004,Midterm,87,100,A
R0139,S170,C016,Final,91,100,A
R0140,S198,C016,Midterm,71,100,B
R0141,S068,C010,Midterm,41,100,D
R0142,S143,C008,Midterm,75,100,B
R0143,S020,C016,Midterm,39,100,F
R0144,S004,C007,Final,57,100,C
R0145,S049,C016,Midterm,79,100,B
R0146,S054,C019,Final,73,100,B
R0147,S182,C015,Midterm,69,100,C
R0148,S028,C005,Midterm,94,100,A
R0149,S099,C015,Midterm,76,100,B
R0150,S049,C003,Final,81,100,B
R0151,S043,C010,Midterm,84,100,B
R0152,S119,C004,Midterm,48,100,D
R0153,S005,C015,Midterm,60,100,C
R0154,S008,C016,Final,64,100,C
R0155,S068,C004,Midterm,75,100,B
R0156,S111,C007,Midterm,75,100,B
R0157,S129,C014,Final,80,100,B
R0158,S113,C009,Final,36,100,F
R0159,S013,C013,Final,42,100,D
R0160,S076,C007,Final,54,100,D
R0161,S153,C009,Final,52,100,D
R0162,S111,C004,Midterm,96,100,A
R0163,S029,C008,Midterm,61,100,C
R0164,S010,C019,Final,36,100,F
R0165,S017,C018,Midterm,60,100,C
R0166,S058,C020,Final,65,100,C
R0167,S101,C004,Midterm,80,100,B
R0168,S127,C007,Midterm,64,100,C
R0169,S089,C010,Final,56,100,C
R0170,S025,C006,Final,30,100,F
R0171,S177,C008,Midterm,69,100,C
R0172,S175,C003,Midterm,70,100,B
R0173,S086,C015,Midterm,53,100,D
R0174,S171,C016,Final,31,100,F
R0175,S006,C006,Final,72,100,B
R0176,S044,C001,Final,39,100,F
R0177,S150,C001,Final,90,100,A
R0178,S121,C004,Midterm,61,100,C
R0179,S146,C010,Midterm,32,100,F
R0180,S129,C006,Midterm,97,100,A
R0181,S026,C010,Final,42,100,D
R0182,S126,C012,Final,87,100,A
R0183,S065,C012,Final,92,100,A
R0184,S091,C010,Final,31,100,F
R0185,S199,C020,Final,96,100,A
R0186,S070,C017,Midterm,44,100,D
R0187,S106,C008,Midterm,48,100,D
R0188,S128,C001,Midterm,75,100,B
R0189,S093,C007,Midterm,85,100,A
R0190,S097,C004,Final,54,100,D
R0191,S116,C017,Midterm,99,100,A
R0192,S174,C012,Final,63,100,C
R0193,S151,C014,Final,80,100,B
R0194,S049,C002,Final,69,100,C
R0195,S111,C015,Final,45,100,D
R0196,S029,C001,Final,66,100,C
R0197,S120,C005,Final,48,100,D
R0198,S078,C016,Final,50,100,D
R0199,S076,C001,Final,38,100,F
R0200,S056,C010,Midterm,35,100,F
R0201,S126,C010,Midterm,36,100,F
R0202,S091,C001,Midterm,85,100,A
R0203,S036,C012,Final,62,100,C
R0204,S171,C018,Midterm,94,100,A
R0205,S183,C009,Midterm,41,100,D
R0206,S111,C019,Midterm,55,100,C
R0207,S057,C002,Final,67,100,C
R0208,S064,C013,Final,75,100,B
R0209,S026,C009,Final,81,100,B
R0210,S045,C019,Final,69,100,C
R0211,S149,C005,Midterm,71,100,B
R0212,S035,C014,Midterm,62,100,C
R0213,S079,C003,Final,68,100,C
R0214,S140,C006,Final,89,100,A
R0215,S025,C005,Final,85,100,A
R0216,S129,C012,Final,70,100,B
R0217,S110,C015,Final,75,100,B
R0218,S119,C001,Midterm,82,100,B
R0219,S023,C005,Final,83,100,B
R0220,S149,C017,Final,61,100,C
R0221,S159,C018,Final,46,100,D
R0222,S194,C013,Midterm,36,100,F
R0223,S172,C001,Final,81,100,B
R0224,S118,C002,Midterm,96,100,A
R0225,S070,C004,Final,37,100,F
R0226,S075,C019,Final,42,100,D
R0227,S016,C004,Midterm,72,100,B
R0228,S133,C005,Final,56,100,C
R0229,S058,C005,Final,47,100,D
R0230,S185,C001,Final,69,100,C
R0231,S030,C003,Midterm,55,100,C
R0232,S155,C004,Midterm,49,100,D
R0233,S053,C004,Final,61,100,C
R0234,S130,C015,Final,33,100,F
R0235,S032,C010,Final,37,100,F
R0236,S048,C008,Final,91,100,A
R0237,S169,C020,Midterm,86,100,A
R0238,S038,C001,Midterm,85,100,A
R0239,S191,C008,Midterm,48,100,D
R0240,S190,C018,Midterm,95,100,A
R0241,S123,C010,Final,90,100,A
R0242,S151,C016,Final,42,100,D
R0243,S101,C013,Midterm,65,100,C
R0244,S107,C014,Midterm,89,100,A
R0245,S073,C015,Midterm,33,100,F
R0246,S003,C019,Final,79,100,B
R0247,S166,C020,Final,34,100,F
R0248,S091,C005,Final,35,100,F
R0249,S071,C001,Midterm,88,100,A
R0250,S129,C017,Midterm,75,100,B
R0251,S181,C017,Final,74,100,B
R0252,S017,C006,Midterm,95,100,A
R0253,S168,C019,Final,75,100,B
R0254,S184,C005,Final,88,100,A
R0255,S101,C003,Final,68,100,C
R0256,S121,C020,Midterm,78,100,B
R0257,S199,C017,Final,94,100,A
R0258,S179,C011,Final,46,100,D
R0259,S018,C002,Midterm,81,100,B
R0260,S060,C004,Midterm,50,100,D
R0261,S174,C016,Final,93,100,A
R0262,S198,C008,Midterm,59,100,C
R0263,S187,C013,Final,52,100,D
R0264,S016,C020,Final,38,100,F
R0265,S010,C003,Final,44,100,D
R0266,S156,C001,Midterm,77,100,B
R0267,S028,C015,Final,71,100,B
R0268,S164,C019,Midterm,47,100,D
R0269,S065,C016,Final,55,100,C
R0270,S058,C007,Midterm,66,100,C
R0271,S136,C007,Midterm,85,100,A
R0272,S162,C004,Midterm,33,100,F
R0273,S036,C001,Final,34,100,F
R0274,S146,C018,Midterm,82,100,B
R0275,S048,C017,Final,73,100,B
R0276,S054,C019,Final,54,100,D
R0277,S091,C012,Midterm,94,100,A
R0278,S113,C014,Final,38,100,F
R0279,S146,C003,Midterm,39,100,F
R0280,S077,C004,Midterm,96,100,A
R0281,S060,C002,Final,93,100,A
R0282,S058,C010,Final,32,100,F
R0283,S181,C012,Midterm,79,100,B
R0284,S074,C003,Midterm,50,100,D
R0285,S157,C017,Final,96,100,A
R0286,S159,C002,Midterm,81,100,B
R0287,S068,C001,Midterm,90,100,A
R0288,S108,C009,Midterm,73,100,B
R0289,S196,C002,Midterm,72,100,B
R0290,S141,C011,Midterm,56,100,C
R0291,S127,C003,Midterm,60,100,C
R0292,S019,C014,Midterm,74,100,B
R0293,S123,C005,Final,100,100,A
R0294,S027,C002,Final,35,100,F
R0295,S058,C012,Final,94,100,A
R0296,S078,C008,Midterm,91,100,A
R0297,S007,C007,Final,37,100,F
R0298,S142,C016,Midterm,32,100,F
R0299,S197,C013,Midterm,79,100,B
R0300,S180,C014,Midterm,85,100,A
R0301,S113,C004,Final,44,100,D
R0302,S050,C011,Final,75,100,B
R0303,S061,C008,Midterm,37,100,F
R0304,S059,C014,Midterm,31,100,F
R0305,S185,C008,Midterm,31,100,F
R0306,S015,C005,Final,39,100,F
R0307,S073,C002,Final,53,100,D
R0308,S155,C008,Final,74,100,B
R0309,S156,C013,Final,46,100,D
R0310,S169,C003,Midterm,45,100,D
R0311,S140,C007,Final,62,100,C
R0312,S057,C015,Final,75,100,B
R0313,S200,C018,Final,76,100,B
R0314,S135,C009,Final,61,100,C
R0315,S129,C004,Midterm,99,100,A
R0316,S106,C020,Final,74,100,B
R0317,S021,C007,Midterm,65,100,C
R0318,S060,C010,Midterm,96,100,A
R0319,S096,C005,Midterm,45,100,D
R0320,S179,C015,Final,60,100,C
R0321,S006,C016,Midterm,44,100,D
R0322,S072,C019,Final,64,100,C
R0323,S022,C002,Final,68,100,C
R0324,S127,C001,Final,79,100,B
R0325,S114,C002,Midterm,79,100,B
R0326,S098,C006,Final,56,100,C
R0327,S014,C010,Midterm,98,100,A
R0328,S196,C012,Midterm,99,100,A
R0329,S068,C019,Midterm,73,100,B
R0330,S088,C020,Final,33,100,F
R0331,S187,C002,Midterm,84,100,B
R0332,S100,C010,Final,100,100,A
R0333,S147,C019,Final,84,100,B
R0334,S098,C015,Midterm,50,100,D
R0335,S004,C009,Final,46,100,D
R0336,S064,C018,Final,40,100,D
R0337,S147,C013,Midterm,73,100,B
R0338,S093,C009,Final,65,100,C
R0339,S032,C010,Final,31,100,F
R0340,S046,C015,Final,63,100,C
R0341,S113,C001,Final,32,100,F
R0342,S092,C016,Midterm,34,100,F
R0343,S015,C019,Midterm,82,100,B
R0344,S157,C018,Final,65,100,C
R0345,S113,C006,Final,38,100,F
R0346,S067,C016,Midterm,65,100,C
R0347,S162,C006,Midterm,59,100,C
R0348,S060,C004,Midterm,36,100,F
R0349,S176,C017,Final,53,100,D
R0350,S011,C018,Midterm,70,100,B
R0351,S183,C009,Final,37,100,F
R0352,S174,C012,Midterm,32,100,F
R0353,S090,C004,Midterm,60,100,C
R0354,S114,C004,Midterm,94,100,A
R0355,S053,C011,Final,60,100,C
R0356,S019,C014,Final,83,100,B
R0357,S007,C011,Final,48,100,D
R0358,S105,C012,Final,72,100,B
R0359,S160,C001,Midterm,67,100,C
R0360,S012,C010,Midterm,77,100,B
R0361,S028,C020,Midterm,33,100,F
R0362,S131,C017,Final,70,100,B
R0363,S097,C019,Midterm,57,100,C
R0364,S098,C003,Midterm,49,100,D
R0365,S145,C017,Final,58,100,C
R0366,S188,C004,Midterm,98,100,A
R0367,S169,C017,Final,90,100,A
R0368,S069,C007,Final,70,100,B
R0369,S085,C008,Final,61,100,C
R0370,S117,C011,Midterm,59,100,C
R0371,S114,C014,Final,60,100,C
R0372,S091,C018,Midterm,40,100,D
R0373,S168,C016,Midterm,76,100,B
R0374,S108,C008,Midterm,87,100,A
R0375,S063,C014,Midterm,98,100,A
R0376,S074,C011,Final,63,100,C
R0377,S021,C014,Final,45,100,D
R0378,S038,C019,Final,94,100,A
R0379,S047,C015,Midterm,55,100,C
R0380,S031,C014,Final,51,100,D
R0381,S183,C016,Midterm,100,100,A
R0382,S009,C014,Midterm,46,100,D
R0383,S019,C005,Final,51,100,D
R0384,S091,C005,Final,84,100,B
R0385,S183,C010,Midterm,60,100,C
R0386,S087,C019,Midterm,73,100,B
R0387,S019,C012,Final,35,100,F
R0388,S162,C015,Final,82,100,B
R0389,S194,C016,Midterm,67,100,C
R0390,S186,C019,Midterm,53,100,D
R0391,S002,C019,Final,49,100,D
R0392,S098,C011,Final,88,100,A
R0393,S131,C019,Final,52,100,D
R0394,S060,C010,Final,42,100,D
R0395,S013,C019,Final,73,100,B
R0396,S083,C013,Final,66,100,C
R0397,S037,C002,Midterm,52,100,D
R0398,S133,C009,Final,85,100,A
R0399,S089,C010,Midterm,42,100,D
R0400,S074,C009,Final,45,100,D
R0401,S058,C006,Final,86,100,A
R0402,S156,C004,Midterm,63,100,C
R0403,S037,C004,Midterm,65,100,C
R0404,S131,C006,Midterm,100,100,A
R0405,S139,C018,Midterm,35,100,F
R0406,S126,C001,Final,30,100,F
R0407,S073,C019,Final,56,100,C
R0408,S134,C005,Final,86,100,A
R0409,S029,C004,Final,67,100,C
R0410,S127,C009,Midterm,85,100,A
R0411,S072,C004,Final,47,100,D
R0412,S191,C008,Midterm,40,100,D
R0413,S041,C017,Final,71,100,B
R0414,S117,C017,Midterm,65,100,C
R0415,S010,C014,Midterm,70,100,B
R0416,S082,C007,Midterm,96,100,A
R0417,S063,C005,Final,31,100,F
R0418,S173,C007,Final,58,100,C
R0419,S039,C016,Midterm,90,100,A
R0420,S073,C005,Midterm,93,100,A
R0421,S133,C007,Midterm,41,100,D
R0422,S018,C016,Midterm,85,100,A
R0423,S010,C014,Final,52,100,D
R0424,S162,C019,Midterm,78,100,B
R0425,S124,C017,Midterm,74,100,B
R0426,S060,C010,Final,68,100,C
R0427,S162,C013,Final,92,100,A
R0428,S124,C010,Midterm,99,100,A
R0429,S029,C010,Final,58,100,C
R0430,S084,C008,Final,87,100,A
R0431,S046,C015,Final,44,100,D
R0432,S089,C013,Midterm,44,100,D
R0433,S126,C020,Final,91,100,A
R0434,S008,C010,Final,60,100,C
R0435,S056,C014,Midterm,94,100,A
R0436,S067,C011,Final,71,100,B
R0437,S114,C014,Final,80,100,B
R0438,S014,C009,Final,63,100,C
R0439,S087,C002,Final,58,100,C
R0440,S105,C008,Midterm,87,100,A
R0441,S053,C004,Final,98,100,A
R0442,S155,C018,Midterm,46,100,D
R0443,S098,C003,Final,32,100,F
R0444,S197,C018,Midterm,75,100,B
R0445,S133,C007,Final,36,100,F
R0446,S051,C006,Final,98,100,A
R0447,S075,C006,Final,59,100,C
R0448,S106,C007,Midterm,72,100,B
R0449,S010,C001,Midterm,31,100,F
R0450,S102,C016,Midterm,94,100,A
R0451,S073,C010,Midterm,50,100,D
R0452,S162,C008,Midterm,59,100,C
R0453,S192,C004,Final,64,100,C
R0454,S034,C009,Midterm,81,100,B
R0455,S019,C017,Final,39,100,F
R0456,S004,C018,Midterm,32,100,F
R0457,S189,C019,Final,42,100,D
R0458,S156,C010,Final,54,100,D
R0459,S132,C001,Final,84,100,B
R0460,S118,C007,Midterm,65,100,C
R0461,S168,C019,Final,63,100,C
R0462,S075,C014,Midterm,78,100,B
R0463,S105,C018,Final,58,100,C
R0464,S073,C018,Midterm,91,100,A
R0465,S005,C016,Final,78,100,B
R0466,S196,C018,Midterm,77,100,B
R0467,S058,C019,Midterm,87,100,A
R0468,S198,C008,Final,80,100,B
R0469,S123,C019,Midterm,77,100,B
R0470,S086,C005,Midterm,69,100,C
R0471,S144,C006,Midterm,42,100,D
R0472,S152,C008,Midterm,92,100,A
R0473,S104,C020,Final,48,100,D
R0474,S186,C019,Midterm,96,100,A
R0475,S197,C016,Final,37,100,F
R0476,S080,C011,Midterm,82,100,B
R0477,S083,C019,Final,34,100,F
R0478,S069,C007,Final,30,100,F
R0479,S128,C011,Midterm,99,100,A
R0480,S119,C016,Midterm,71,100,B
R0481,S109,C003,Final,43,100,D
R0482,S194,C001,Midterm,46,100,D
R0483,S192,C004,Midterm,96,100,A
R0484,S113,C004,Midterm,55,100,C
R0485,S127,C006,Final,84,100,B
R0486,S192,C018,Final,47,100,D
R0487,S003,C010,Midterm,81,100,B
R0488,S076,C009,Final,85,100,A
R0489,S145,C006,Midterm,77,100,B
R0490,S134,C007,Final,67,100,C
R0491,S155,C009,Final,96,100,A
R0492,S054,C011,Midterm,89,100,A
R0493,S135,C016,Midterm,51,100,D
R0494,S107,C006,Midterm,70,100,B
R0495,S018,C001,Final,90,100,A
R0496,S052,C004,Final,54,100,D
R0497,S025,C002,Final,72,100,B
R0498,S018,C012,Midterm,50,100,D
R0499,S161,C001,Midterm,74,100,B
R0500,S073,C014,Final,65,100,C
