AttendanceID,StudentID,CourseID,Date,Status
A00121,S044,C019,2025-05-29,Present
A00122,S169,C020,2025-06-04,Present
A00123,S145,C002,2025-01-08,Present
A00124,S165,C019,2025-03-09,Present
A00125,S197,C019,2025-04-17,Present
A00126,S008,C016,2025-06-10,Present
A00127,S165,C010,2025-05-04,Present
A00128,S176,C013,2025-03-18,Present
A00129,S177,C002,2025-02-10,Present
A00130,S124,C015,2025-02-22,Present
A00131,S037,C011,2025-03-23,Present
A00132,S089,C013,2025-02-03,Present
A00133,S132,C018,2025-01-28,Present
A00134,S120,C004,2025-03-10,Present
A00135,S037,C004,2025-01-13,Present
A00136,S099,C020,2025-04-18,Present
A00137,S041,C011,2025-05-28,Present
A00138,S049,C006,2025-05-08,Absent
A00139,S120,C016,2025-03-20,Present
A00140,S024,C013,2025-05-10,Present
A00141,S062,C007,2025-05-30,Present
A00142,S013,C010,2025-05-07,Present
A00143,S168,C016,2025-03-15,Present
A00144,S028,C014,2025-02-04,Absent
A00145,S187,C012,2025-04-14,Present
A00146,S103,C002,2025-05-26,Present
A00147,S093,C018,2025-03-15,Present
A00148,S130,C015,2025-05-21,Present
A00149,S160,C020,2025-01-31,Present
A00150,S025,C013,2025-04-06,Present
A00151,S087,C018,2025-04-04,Present
A00152,S051,C020,2025-05-11,Present
A00153,S011,C002,2025-01-10,Present
A00154,S086,C016,2025-05-13,Present
A00155,S156,C017,2025-02-05,Present
A00156,S157,C011,2025-02-11,Present
A00157,S158,C010,2025-06-01,Present
A00158,S131,C018,2025-05-06,Present
A00159,S077,C016,2025-01-05,Present
A00160,S173,C004,2025-04-17,Present
A00161,S186,C001,2025-06-02,Present
A00162,S168,C019,2025-05-28,Present
A00163,S014,C019,2025-05-03,Present
A00164,S162,C020,2025-04-08,Present
A00165,S175,C008,2025-01-09,Present
A00166,S180,C004,2025-02-18,Present
A00167,S081,C014,2025-02-08,Present
A00168,S053,C014,2025-05-09,Present
A00169,S121,C002,2025-06-30,Present
A00170,S054,C018,2025-03-25,Absent
A00171,S123,C017,2025-04-07,Present
A00172,S045,C015,2025-05-17,Present
A00173,S091,C009,2025-06-06,Present
A00174,S064,C009,2025-05-23,Present
A00175,S077,C010,2025-06-30,Present
A00176,S181,C016,2025-03-23,Present
A00177,S144,C009,2025-03-15,Present
A00178,S174,C018,2025-04-08,Absent
A00179,S102,C012,2025-02-07,Present
A00180,S074,C003,2025-03-30,Absent
A00181,S168,C009,2025-05-03,Present
A00182,S138,C009,2025-05-24,Present
A00183,S036,C004,2025-06-07,Present
A00184,S062,C008,2025-01-13,Present
A00185,S136,C008,2025-06-13,Present
A00186,S026,C014,2025-03-26,Present
A00187,S026,C005,2025-01-02,Absent
A00188,S041,C014,2025-06-17,Absent
A00189,S122,C016,2025-06-16,Present
A00190,S074,C011,2025-03-15,Present
A00191,S197,C003,2025-06-16,Present
A00192,S137,C002,2025-02-14,Present
A00193,S046,C002,2025-04-12,Present
A00194,S048,C010,2025-01-10,Present
A00195,S146,C020,2025-01-28,Absent
A00196,S086,C010,2025-04-27,Absent
A00197,S140,C017,2025-05-07,Absent
A00198,S035,C017,2025-04-30,Present
A00199,S029,C011,2025-02-11,Present
A00200,S166,C009,2025-02-17,Present
A00201,S087,C010,2025-05-26,Present
A00202,S050,C006,2025-06-06,Absent
A00203,S104,C014,2025-05-12,Present
A00204,S103,C004,2025-02-17,Absent
A00205,S123,C011,2025-03-05,Present
A00206,S099,C008,2025-04-25,Present
A00207,S085,C010,2025-05-30,Present
A00208,S003,C009,2025-06-17,Present
A00209,S061,C002,2025-06-20,Present
A00210,S079,C006,2025-04-14,Present
A00211,S181,C010,2025-06-26,Present
A00212,S076,C012,2025-06-07,Present
A00213,S035,C016,2025-02-09,Present
A00214,S156,C012,2025-04-17,Present
A00215,S121,C018,2025-06-20,Present
A00216,S196,C008,2025-06-24,Present
A00217,S021,C017,2025-04-25,Present
A00218,S093,C003,2025-05-25,Present
A00219,S141,C017,2025-02-21,Present
A00220,S039,C006,2025-03-25,Absent
A00221,S114,C004,2025-06-24,Present
A00222,S150,C016,2025-01-24,Absent
A00223,S115,C002,2025-04-27,Present
A00224,S107,C015,2025-05-25,Present
A00225,S119,C010,2025-01-06,Present
A00226,S001,C007,2025-05-29,Present
A00227,S109,C012,2025-06-29,Present
A00228,S016,C003,2025-05-01,Present
A00229,S105,C006,2025-02-04,Present
A00230,S187,C014,2025-04-06,Absent
A00231,S098,C015,2025-04-07,Present
A00232,S175,C018,2025-02-04,Present
A00233,S090,C004,2025-02-15,Absent
A00234,S101,C017,2025-02-02,Present
A00235,S058,C001,2025-01-06,Absent
A00236,S119,C018,2025-04-19,Present
A00237,S059,C008,2025-04-28,Present
A00238,S071,C007,2025-01-29,Present
A00239,S170,C014,2025-06-07,Present
A00240,S005,C008,2025-02-22,Present
A00241,S153,C002,2025-04-25,Present
A00242,S181,C002,2025-03-04,Present
A00243,S103,C015,2025-03-01,Present
A00244,S194,C002,2025-02-05,Present
A00245,S075,C008,2025-05-28,Present
A00246,S154,C011,2025-03-02,Present
A00247,S037,C017,2025-02-26,Present
A00248,S071,C002,2025-05-23,Absent
A00249,S189,C006,2025-06-10,Present
A00250,S143,C016,2025-01-13,Absent
A00251,S165,C013,2025-05-15,Present
A00252,S107,C014,2025-02-08,Present
A00253,S048,C018,2025-05-02,Present
A00254,S058,C010,2025-02-06,Present
A00255,S015,C018,2025-04-16,Absent
A00256,S143,C017,2025-02-04,Present
A00257,S066,C007,2025-03-26,Present
A00258,S116,C012,2025-01-24,Present
A00259,S049,C002,2025-03-10,Present
A00260,S155,C020,2025-01-11,Absent
A00261,S049,C019,2025-06-21,Present
A00262,S123,C007,2025-03-27,Present
A00263,S004,C007,2025-02-18,Absent
A00264,S031,C016,2025-03-04,Present
A00265,S181,C007,2025-04-12,Absent
A00266,S142,C011,2025-03-14,Present
A00267,S137,C012,2025-03-20,Present
A00268,S132,C016,2025-04-30,Present
A00269,S185,C016,2025-03-23,Absent
A00270,S095,C011,2025-04-16,Present
A00271,S057,C005,2025-01-05,Present
A00272,S150,C019,2025-04-17,Present
A00273,S051,C011,2025-02-28,Present
A00274,S063,C016,2025-05-21,Present
A00275,S176,C011,2025-03-07,Present
A00276,S126,C016,2025-04-28,Present
A00277,S091,C006,2025-02-05,Present
A00278,S126,C006,2025-05-19,Absent
A00279,S016,C017,2025-01-09,Present
A00280,S020,C002,2025-01-02,Present
A00281,S162,C008,2025-01-18,Present
A00282,S003,C007,2025-05-10,Present
A00283,S016,C020,2025-06-13,Present
A00284,S158,C016,2025-06-18,Present
A00285,S002,C018,2025-05-22,Present
A00286,S005,C017,2025-03-12,Present
A00287,S074,C001,2025-05-09,Present
A00288,S173,C014,2025-02-15,Present
A00289,S025,C017,2025-02-08,Present
A00290,S159,C017,2025-03-06,Present
A00291,S069,C013,2025-01-21,Present
A00292,S104,C015,2025-05-25,Present
A00293,S179,C008,2025-03-18,Present
A00294,S021,C002,2025-01-24,Present
A00295,S097,C018,2025-05-02,Present
A00296,S003,C006,2025-01-22,Present
A00297,S112,C011,2025-05-25,Absent
A00298,S025,C017,2025-01-11,Present
A00299,S178,C019,2025-05-02,Present
A00300,S020,C009,2025-05-20,Present
A00301,S009,C006,2025-03-22,Present
A00302,S054,C019,2025-02-06,Present
A00303,S183,C013,2025-01-20,Present
A00304,S145,C008,2025-05-26,Present
A00305,S100,C018,2025-03-26,Present
A00306,S190,C005,2025-06-26,Present
A00307,S129,C012,2025-01-14,Present
A00308,S060,C003,2025-03-29,Present
A00309,S158,C020,2025-04-12,Absent
A00310,S084,C001,2025-06-12,Present
A00311,S116,C016,2025-02-28,Present
A00312,S097,C014,2025-02-17,Present
A00313,S170,C013,2025-01-22,Present
A00314,S076,C008,2025-01-19,Present
A00315,S040,C013,2025-06-12,Present
A00316,S100,C011,2025-04-03,Present
A00317,S002,C010,2025-04-24,Present
A00318,S070,C004,2025-02-03,Present
A00319,S111,C015,2025-05-23,Present
A00320,S105,C004,2025-01-07,Present
A00321,S142,C003,2025-06-02,Present
A00322,S084,C013,2025-01-04,Present
A00323,S100,C003,2025-05-24,Absent
A00324,S063,C019,2025-05-14,Present
A00325,S098,C006,2025-02-05,Present
A00326,S069,C016,2025-02-07,Present
A00327,S112,C009,2025-04-18,Present
A00328,S020,C012,2025-03-06,Absent
A00329,S185,C016,2025-06-02,Present
A00330,S118,C004,2025-02-04,Present
A00331,S102,C011,2025-06-08,Present
A00332,S085,C015,2025-03-27,Present
A00333,S167,C020,2025-02-04,Present
A00334,S155,C007,2025-05-03,Present
A00335,S102,C011,2025-03-16,Present
A00336,S163,C016,2025-05-28,Present
A00337,S084,C013,2025-03-13,Present
A00338,S101,C012,2025-01-30,Absent
A00339,S052,C019,2025-05-20,Present
A00340,S197,C018,2025-01-07,Absent
A00341,S119,C007,2025-04-23,Present
A00342,S178,C003,2025-04-15,Present
A00343,S036,C010,2025-03-03,Present
A00344,S040,C014,2025-04-07,Present
A00345,S154,C016,2025-05-30,Present
A00346,S130,C014,2025-05-20,Present
A00347,S093,C018,2025-06-02,Present
A00348,S022,C004,2025-03-05,Present
A00349,S091,C006,2025-06-15,Present
A00350,S145,C013,2025-03-26,Absent
A00351,S111,C004,2025-01-03,Present
A00352,S057,C017,2025-05-13,Present
A00353,S177,C019,2025-02-26,Present
A00354,S101,C015,2025-06-23,Present
A00355,S129,C005,2025-03-30,Absent
A00356,S124,C004,2025-03-17,Present
A00357,S022,C004,2025-02-06,Present
A00358,S088,C015,2025-02-22,Present
A00359,S090,C016,2025-01-25,Present
A00360,S179,C015,2025-03-23,Present
A00361,S012,C004,2025-01-06,Present
A00362,S166,C004,2025-06-23,Present
A00363,S190,C008,2025-05-13,Present
A00364,S041,C011,2025-05-24,Present
A00365,S119,C008,2025-04-14,Present
A00366,S048,C014,2025-04-12,Present
A00367,S158,C007,2025-04-26,Present
A00368,S100,C001,2025-06-30,Present
A00369,S072,C003,2025-05-28,Present
A00370,S138,C006,2025-04-04,Present
A00371,S118,C004,2025-03-09,Present
A00372,S126,C017,2025-06-13,Present
A00373,S100,C020,2025-04-11,Present
A00374,S090,C012,2025-04-28,Present
A00375,S173,C010,2025-06-07,Present
A00376,S173,C005,2025-03-22,Present
A00377,S079,C004,2025-02-16,Present
A00378,S037,C017,2025-04-10,Present
A00379,S036,C019,2025-04-09,Present
A00380,S125,C018,2025-06-27,Absent
A00381,S045,C018,2025-02-12,Present
A00382,S036,C006,2025-03-22,Present
A00383,S159,C002,2025-04-02,Absent
A00384,S125,C005,2025-02-19,Present
A00385,S144,C017,2025-06-17,Present
A00386,S176,C016,2025-04-17,Present
A00387,S114,C016,2025-02-12,Present
A00388,S008,C008,2025-03-16,Present
A00389,S058,C018,2025-03-15,Present
A00390,S118,C019,2025-05-07,Present
A00391,S029,C019,2025-01-30,Present
A00392,S140,C012,2025-05-19,Present
A00393,S011,C015,2025-05-20,Present
A00394,S109,C004,2025-06-17,Present
A00395,S077,C002,2025-04-26,Present
A00396,S023,C015,2025-01-31,Present
A00397,S061,C007,2025-05-31,Present
A00398,S182,C020,2025-06-11,Present
A00399,S158,C005,2025-02-22,Present
A00400,S016,C019,2025-03-31,Present
A00401,S153,C018,2025-02-13,Present
A00402,S181,C010,2025-03-16,Present
A00403,S132,C004,2025-02-04,Absent
A00404,S106,C002,2025-03-12,Absent
A00405,S033,C005,2025-03-05,Present
A00406,S083,C008,2025-06-23,Present
A00407,S037,C019,2025-06-11,Present
A00408,S107,C013,2025-04-26,Present
A00409,S197,C003,2025-04-14,Present
A00410,S072,C012,2025-04-27,Absent
A00411,S084,C019,2025-01-01,Absent
A00412,S188,C003,2025-04-28,Present
A00413,S179,C012,2025-01-17,Present
A00414,S102,C007,2025-04-20,Present
A00415,S127,C009,2025-03-24,Present
A00416,S087,C018,2025-05-28,Present
A00417,S125,C011,2025-06-24,Present
A00418,S012,C004,2025-06-10,Present
A00419,S118,C001,2025-02-01,Absent
A00420,S041,C015,2025-04-27,Present
A00421,S110,C007,2025-06-26,Absent
A00422,S167,C010,2025-02-10,Absent
A00423,S071,C003,2025-06-17,Present
A00424,S022,C012,2025-06-20,Absent
A00425,S043,C002,2025-04-12,Present
A00426,S186,C008,2025-04-20,Present
A00427,S181,C004,2025-01-01,Present
A00428,S020,C005,2025-06-01,Present
A00429,S175,C015,2025-01-03,Present
A00430,S088,C004,2025-04-19,Present
A00431,S123,C003,2025-02-28,Present
A00432,S188,C004,2025-01-27,Present
A00433,S077,C005,2025-04-08,Present
A00434,S193,C005,2025-06-14,Absent
A00435,S037,C003,2025-05-16,Present
A00436,S157,C006,2025-04-23,Present
A00437,S055,C005,2025-04-16,Present
A00438,S114,C007,2025-01-23,Absent
A00439,S036,C004,2025-05-31,Present
A00440,S090,C014,2025-03-22,Present
A00441,S064,C009,2025-06-15,Present
A00442,S142,C020,2025-06-03,Present
A00443,S073,C001,2025-06-18,Absent
A00444,S053,C017,2025-06-05,Present
A00445,S192,C013,2025-03-17,Present
A00446,S062,C016,2025-04-09,Present
A00447,S128,C020,2025-01-19,Present
A00448,S004,C012,2025-03-23,Present
A00449,S146,C014,2025-04-04,Present
A00450,S045,C016,2025-01-19,Present
A00451,S018,C001,2025-03-09,Present
A00452,S016,C013,2025-05-10,Present
A00453,S183,C017,2025-04-17,Present
A00454,S103,C003,2025-06-13,Present
A00455,S158,C005,2025-03-13,Present
A00456,S021,C017,2025-02-22,Absent
A00457,S040,C018,2025-03-25,Present
A00458,S163,C003,2025-03-21,Present
A00459,S187,C008,2025-01-15,Present
A00460,S112,C004,2025-04-27,Present
A00461,S015,C010,2025-06-20,Present
A00462,S190,C006,2025-01-31,Present
A00463,S036,C001,2025-02-11,Present
A00464,S089,C017,2025-05-13,Present
A00465,S185,C009,2025-02-12,Present
A00466,S192,C009,2025-01-31,Present
A00467,S008,C011,2025-04-20,Present
A00468,S017,C009,2025-05-28,Present
A00469,S128,C015,2025-05-11,Present
A00470,S128,C019,2025-02-12,Present
A00471,S066,C004,2025-05-27,Present
A00472,S030,C008,2025-05-11,Present
A00473,S004,C008,2025-01-12,Present
A00474,S099,C005,2025-02-15,Absent
A00475,S010,C018,2025-06-17,Present
A00476,S083,C008,2025-04-17,Absent
A00477,S082,C009,2025-01-20,Present
A00478,S031,C017,2025-06-22,Absent
A00479,S046,C008,2025-05-13,Absent
A00480,S103,C003,2025-04-30,Absent
A00481,S199,C010,2025-03-25,Present
A00482,S117,C001,2025-04-05,Present
A00483,S145,C010,2025-06-09,Present
A00484,S095,C019,2025-05-07,Absent
A00485,S199,C007,2025-05-20,Present
A00486,S063,C005,2025-01-02,Absent
A00487,S007,C008,2025-05-19,Present
A00488,S178,C001,2025-03-27,Present
A00489,S169,C013,2025-03-20,Present
A00490,S136,C008,2025-04-18,Present
A00491,S016,C005,2025-03-13,Present
A00492,S060,C017,2025-04-16,Present
A00493,S096,C015,2025-01-22,Present
A00494,S130,C005,2025-06-13,Present
A00495,S020,C019,2025-05-26,Present
A00496,S170,C005,2025-03-02,Present
A00497,S081,C013,2025-06-29,Present
A00498,S084,C011,2025-04-26,Present
A00499,S020,C007,2025-02-04,Present
A00500,S150,C004,2025-02-09,Present
A00501,S116,C015,2025-03-22,Present
A00502,S138,C012,2025-02-23,Present
A00503,S119,C009,2025-01-31,Present
A00504,S176,C010,2025-06-30,Present
A00505,S011,C007,2025-03-25,Present
A00506,S183,C008,2025-04-02,Present
A00507,S013,C010,2025-03-08,Present
A00508,S045,C001,2025-04-14,Absent
A00509,S143,C018,2025-03-05,Present
A00510,S027,C005,2025-02-01,Present
A00511,S200,C008,2025-02-03,Present
A00512,S103,C012,2025-06-25,Present
A00513,S166,C003,2025-05-30,Present
A00514,S020,C001,2025-01-17,Present
A00515,S166,C015,2025-02-02,Present
A00516,S085,C004,2025-01-11,Absent
A00517,S013,C006,2025-05-27,Present
A00518,S186,C013,2025-05-08,Present
A00519,S175,C014,2025-02-14,Present
A00520,S048,C009,2025-03-13,Present
A00521,S039,C002,2025-06-07,Present
A00522,S063,C010,2025-05-08,Present
A00523,S141,C016,2025-01-16,Present
A00524,S099,C005,2025-04-18,Present
A00525,S135,C008,2025-06-11,Absent
A00526,S140,C001,2025-04-08,Present
A00527,S092,C016,2025-05-20,Present
A00528,S089,C019,2025-05-09,Present
A00529,S070,C006,2025-01-07,Present
A00530,S057,C001,2025-03-13,Present
A00531,S121,C017,2025-04-02,Present
A00532,S060,C006,2025-01-26,Present
A00533,S062,C009,2025-05-17,Present
A00534,S189,C002,2025-02-26,Present
A00535,S100,C012,2025-02-14,Present
A00536,S152,C011,2025-06-28,Present
A00537,S152,C001,2025-06-30,Present
A00538,S146,C019,2025-02-06,Present
A00539,S049,C016,2025-05-19,Present
A00540,S126,C002,2025-01-24,Present
A00541,S155,C008,2025-01-06,Present
A00542,S001,C011,2025-06-07,Present
A00543,S034,C011,2025-02-15,Absent
A00544,S083,C002,2025-01-06,Present
A00545,S181,C005,2025-01-29,Present
A00546,S094,C003,2025-04-06,Present
A00547,S170,C013,2025-05-31,Present
A00548,S078,C011,2025-02-04,Absent
A00549,S188,C014,2025-06-13,Absent
A00550,S167,C011,2025-02-14,Present
A00551,S144,C020,2025-04-02,Present
A00552,S151,C006,2025-04-07,Present
A00553,S177,C010,2025-02-02,Present
A00554,S001,C019,2025-04-11,Absent
A00555,S198,C019,2025-01-09,Present
A00556,S082,C020,2025-02-26,Present
A00557,S027,C016,2025-02-06,Present
A00558,S020,C008,2025-03-30,Absent
A00559,S043,C003,2025-06-21,Present
A00560,S086,C015,2025-01-03,Present
A00561,S064,C003,2025-03-31,Present
A00562,S028,C001,2025-01-13,Present
A00563,S188,C014,2025-02-12,Absent
A00564,S127,C013,2025-03-31,Present
A00565,S026,C016,2025-05-28,Present
A00566,S176,C008,2025-02-11,Present
A00567,S009,C010,2025-01-06,Present
A00568,S027,C003,2025-03-29,Present
A00569,S097,C006,2025-01-20,Present
A00570,S024,C011,2025-06-02,Absent
A00571,S124,C001,2025-04-21,Absent
A00572,S043,C020,2025-04-22,Present
A00573,S026,C011,2025-02-22,Absent
A00574,S105,C018,2025-05-19,Present
A00575,S073,C010,2025-03-02,Present
A00576,S101,C019,2025-05-21,Present
A00577,S040,C002,2025-04-03,Present
A00578,S023,C010,2025-06-19,Present
A00579,S123,C007,2025-01-25,Present
A00580,S044,C010,2025-01-21,Present
A00581,S030,C010,2025-04-12,Present
A00582,S170,C009,2025-01-24,Present
A00583,S100,C006,2025-04-05,Absent
A00584,S095,C006,2025-04-25,Present
A00585,S113,C015,2025-03-09,Present
A00586,S069,C019,2025-01-16,Present
A00587,S179,C004,2025-01-22,Present
A00588,S139,C014,2025-05-31,Present
A00589,S016,C013,2025-05-14,Present
A00590,S138,C016,2025-05-27,Absent
A00591,S122,C010,2025-01-21,Present
A00592,S183,C002,2025-05-09,Present
A00593,S133,C019,2025-06-23,Absent
A00594,S038,C004,2025-04-25,Present
A00595,S043,C007,2025-02-19,Present
A00596,S109,C003,2025-06-24,Present
A00597,S161,C005,2025-06-02,Present
A00598,S187,C003,2025-01-23,Present
A00599,S102,C018,2025-03-25,Absent
A00600,S134,C015,2025-01-04,Present
A00601,S160,C019,2025-05-14,Present
A00602,S029,C014,2025-02-08,Present
A00603,S151,C019,2025-01-26,Absent
A00604,S145,C004,2025-03-15,Absent
A00605,S089,C014,2025-03-09,Present
A00606,S125,C019,2025-06-05,Present
A00607,S045,C009,2025-04-14,Present
A00608,S156,C013,2025-01-10,Present
A00609,S085,C008,2025-01-13,Present
A00610,S069,C012,2025-01-06,Present
A00611,S078,C010,2025-03-13,Present
A00612,S179,C004,2025-02-28,Present
A00613,S191,C015,2025-03-24,Present
A00614,S107,C020,2025-06-15,Present
A00615,S114,C007,2025-04-15,Present
A00616,S195,C017,2025-04-06,Present
A00617,S132,C006,2025-01-17,Present
A00618,S130,C013,2025-02-04,Present
A00619,S135,C019,2025-01-08,Present
A00620,S052,C002,2025-03-05,Present
A00621,S013,C012,2025-06-30,Present
A00622,S095,C015,2025-05-10,Present
A00623,S032,C001,2025-03-03,Present
A00624,S153,C015,2025-02-15,Absent
A00625,S122,C019,2025-05-22,Present
A00626,S042,C009,2025-06-26,Present
A00627,S008,C013,2025-01-13,Present
A00628,S147,C007,2025-02-26,Present
A00629,S174,C007,2025-03-10,Present
A00630,S132,C001,2025-06-24,Present
A00631,S034,C006,2025-06-03,Present
A00632,S058,C009,2025-06-05,Present
A00633,S079,C009,2025-04-19,Absent
A00634,S090,C015,2025-03-06,Present
A00635,S078,C017,2025-06-09,Present
A00636,S027,C001,2025-05-11,Absent
A00637,S096,C018,2025-06-15,Present
A00638,S073,C010,2025-06-25,Present
A00639,S017,C011,2025-03-12,Present
A00640,S071,C009,2025-06-17,Present
A00641,S167,C010,2025-02-18,Present
A00642,S196,C008,2025-01-15,Present
A00643,S154,C013,2025-06-19,Present
A00644,S036,C001,2025-06-17,Present
A00645,S076,C009,2025-04-18,Present
A00646,S189,C002,2025-05-30,Present
A00647,S147,C007,2025-03-29,Present
A00648,S057,C018,2025-06-13,Present
A00649,S172,C012,2025-05-10,Present
A00650,S044,C018,2025-02-16,Present
A00651,S121,C005,2025-03-08,Present
A00652,S144,C006,2025-06-24,Absent
A00653,S168,C003,2025-02-26,Present
A00654,S191,C010,2025-04-18,Present
A00655,S085,C012,2025-03-08,Present
A00656,S119,C004,2025-05-01,Present
A00657,S163,C019,2025-05-29,Absent
A00658,S019,C016,2025-02-19,Present
A00659,S175,C013,2025-05-16,Present
A00660,S014,C005,2025-02-05,Absent
A00661,S088,C014,2025-05-26,Absent
A00662,S118,C005,2025-03-22,Absent
A00663,S047,C003,2025-05-05,Present
A00664,S046,C011,2025-06-12,Present
A00665,S116,C009,2025-02-23,Present
A00666,S044,C019,2025-02-10,Present
A00667,S196,C003,2025-02-03,Present
A00668,S163,C014,2025-04-14,Present
A00669,S123,C013,2025-01-02,Present
A00670,S052,C012,2025-01-04,Absent
A00671,S194,C017,2025-02-18,Present
A00672,S002,C008,2025-02-27,Present
A00673,S089,C010,2025-02-03,Present
A00674,S129,C019,2025-03-20,Present
A00675,S012,C010,2025-03-16,Present
A00676,S134,C020,2025-05-15,Present
A00677,S176,C005,2025-03-29,Absent
A00678,S126,C012,2025-02-18,Present
A00679,S104,C001,2025-02-28,Present
A00680,S034,C007,2025-01-06,Present
A00681,S044,C004,2025-04-04,Present
A00682,S010,C013,2025-06-13,Present
A00683,S137,C020,2025-01-13,Present
A00684,S013,C004,2025-06-17,Present
A00685,S013,C004,2025-04-17,Present
A00686,S032,C018,2025-03-06,Present
A00687,S040,C007,2025-06-27,Present
A00688,S003,C010,2025-04-18,Present
A00689,S170,C017,2025-03-11,Present
A00690,S180,C005,2025-04-18,Present
A00691,S027,C017,2025-06-08,Present
A00692,S030,C004,2025-05-08,Present
