AssignmentID,StudentID,CourseID,SubmissionDate,MarksObtained,MaxMarks
AS0110,S096,C016,2025-03-17,60,100
AS0111,S039,C013,2025-02-22,39,100
AS0112,S061,C020,2025-04-24,77,100
AS0113,S035,C009,2025-03-23,40,100
AS0114,S134,C014,2025-06-15,71,100
AS0115,S193,C001,2025-02-28,77,100
AS0116,S088,C008,2025-02-22,41,100
AS0117,S171,C008,2025-06-25,63,100
AS0118,S156,C013,2025-05-14,76,100
AS0119,S047,C015,2025-06-11,35,100
AS0120,S017,C016,2025-01-18,59,100
AS0121,S014,C005,2025-02-22,51,100
AS0122,S024,C006,2025-06-01,61,100
AS0123,S061,C017,2025-01-21,89,100
AS0124,S186,C015,2025-03-21,56,100
AS0125,S185,C007,2025-03-04,89,100
AS0126,S046,C020,2025-03-05,73,100
AS0127,S074,C019,2025-04-25,60,100
AS0128,S070,C016,2025-01-21,81,100
AS0129,S102,C013,2025-02-12,95,100
AS0130,S113,C014,2025-05-10,90,100
AS0131,S195,C005,2025-05-04,37,100
AS0132,S196,C013,2025-04-20,45,100
AS0133,S195,C010,2025-06-02,54,100
AS0134,S142,C006,2025-03-07,83,100
AS0135,S119,C010,2025-04-27,71,100
AS0136,S097,C018,2025-06-05,96,100
AS0137,S019,C011,2025-02-04,95,100
AS0138,S051,C005,2025-02-18,35,100
AS0139,S004,C017,2025-04-06,97,100
AS0140,S104,C014,2025-04-12,82,100
AS0141,S099,C016,2025-03-20,44,100
AS0142,S105,C002,2025-02-01,84,100
AS0143,S145,C006,2025-02-19,90,100
AS0144,S066,C012,2025-05-11,97,100
AS0145,S163,C012,2025-06-28,42,100
AS0146,S167,C013,2025-04-19,66,100
AS0147,S063,C016,2025-01-09,81,100
AS0148,S162,C001,2025-06-28,53,100
AS0149,S067,C020,2025-04-27,53,100
AS0150,S066,C008,2025-06-04,55,100
AS0151,S004,C004,2025-01-24,84,100
AS0152,S102,C019,2025-01-21,59,100
AS0153,S109,C006,2025-04-20,67,100
AS0154,S178,C010,2025-05-09,83,100
AS0155,S151,C010,2025-04-16,46,100
AS0156,S028,C019,2025-03-30,53,100
AS0157,S069,C007,2025-04-12,74,100
AS0158,S002,C006,2025-05-06,35,100
AS0159,S025,C003,2025-06-28,88,100
AS0160,S135,C014,2025-06-17,71,100
AS0161,S188,C014,2025-02-13,57,100
AS0162,S096,C006,2025-06-30,52,100
AS0163,S051,C016,2025-02-16,99,100
AS0164,S029,C015,2025-05-26,62,100
AS0165,S048,C007,2025-01-16,58,100
AS0166,S195,C007,2025-03-08,87,100
AS0167,S113,C020,2025-01-28,56,100
AS0168,S021,C010,2025-01-22,83,100
AS0169,S032,C009,2025-01-17,78,100
AS0170,S008,C019,2025-03-02,96,100
AS0171,S125,C004,2025-01-03,42,100
AS0172,S069,C001,2025-06-20,40,100
AS0173,S025,C007,2025-05-14,35,100
AS0174,S097,C020,2025-05-14,69,100
AS0175,S125,C016,2025-03-28,89,100
AS0176,S087,C012,2025-06-24,78,100
AS0177,S081,C008,2025-04-03,86,100
AS0178,S097,C020,2025-01-15,80,100
AS0179,S085,C004,2025-01-01,93,100
AS0180,S179,C013,2025-02-05,38,100
AS0181,S155,C004,2025-05-16,70,100
AS0182,S180,C008,2025-04-05,92,100
AS0183,S159,C016,2025-05-12,87,100
AS0184,S170,C007,2025-01-01,76,100
AS0185,S005,C012,2025-01-12,76,100
AS0186,S174,C015,2025-03-01,97,100
AS0187,S103,C020,2025-01-21,79,100
AS0188,S110,C016,2025-06-18,47,100
AS0189,S188,C013,2025-03-17,59,100
AS0190,S183,C005,2025-05-14,99,100
AS0191,S009,C005,2025-05-08,46,100
AS0192,S078,C018,2025-04-30,56,100
AS0193,S115,C004,2025-05-04,65,100
AS0194,S063,C007,2025-02-13,46,100
AS0195,S028,C014,2025-01-08,55,100
AS0196,S084,C013,2025-03-13,63,100
AS0197,S185,C009,2025-06-20,95,100
AS0198,S172,C004,2025-06-20,52,100
AS0199,S137,C016,2025-01-24,77,100
AS0200,S058,C019,2025-06-03,43,100
AS0201,S165,C011,2025-04-07,83,100
AS0202,S168,C018,2025-04-22,64,100
AS0203,S058,C009,2025-01-30,72,100
AS0204,S023,C004,2025-01-23,78,100
AS0205,S190,C019,2025-02-18,49,100
AS0206,S147,C012,2025-02-02,75,100
AS0207,S098,C019,2025-01-01,74,100
AS0208,S016,C019,2025-05-18,59,100
AS0209,S100,C014,2025-03-23,81,100
AS0210,S174,C005,2025-05-14,63,100
AS0211,S028,C013,2025-01-03,93,100
AS0212,S081,C005,2025-03-17,63,100
AS0213,S128,C015,2025-02-07,71,100
AS0214,S038,C002,2025-06-03,75,100
AS0215,S080,C017,2025-06-26,50,100
AS0216,S071,C019,2025-05-03,62,100
AS0217,S127,C010,2025-06-30,83,100
AS0218,S016,C011,2025-02-09,61,100
AS0219,S188,C008,2025-06-29,41,100
AS0220,S199,C006,2025-05-05,85,100
AS0221,S077,C006,2025-01-06,85,100
AS0222,S087,C014,2025-06-23,95,100
AS0223,S090,C013,2025-04-11,44,100
AS0224,S136,C010,2025-03-14,59,100
AS0225,S180,C018,2025-04-11,47,100
AS0226,S034,C011,2025-05-29,41,100
AS0227,S182,C010,2025-04-28,55,100
AS0228,S148,C005,2025-04-24,96,100
AS0229,S075,C005,2025-02-23,62,100
AS0230,S192,C007,2025-06-16,36,100
AS0231,S093,C019,2025-01-27,53,100
AS0232,S097,C014,2025-06-23,56,100
AS0233,S015,C004,2025-04-02,95,100
AS0234,S046,C002,2025-01-31,100,100
AS0235,S167,C011,2025-06-01,90,100
AS0236,S039,C013,2025-03-04,39,100
AS0237,S031,C008,2025-04-12,97,100
AS0238,S078,C020,2025-02-14,83,100
AS0239,S199,C003,2025-04-29,83,100
AS0240,S071,C015,2025-04-05,36,100
AS0241,S031,C004,2025-01-22,50,100
AS0242,S126,C017,2025-02-27,37,100
AS0243,S151,C019,2025-05-27,96,100
AS0244,S071,C004,2025-06-01,58,100
AS0245,S099,C016,2025-06-15,90,100
AS0246,S077,C019,2025-02-02,47,100
AS0247,S084,C003,2025-05-18,58,100
AS0248,S104,C001,2025-04-11,97,100
AS0249,S017,C017,2025-05-30,50,100
AS0250,S193,C007,2025-06-18,50,100
AS0251,S047,C020,2025-06-27,58,100
AS0252,S002,C018,2025-04-25,75,100
AS0253,S032,C002,2025-02-02,61,100
AS0254,S168,C006,2025-01-23,67,100
AS0255,S193,C002,2025-01-22,50,100
AS0256,S130,C010,2025-04-04,56,100
AS0257,S109,C001,2025-03-05,73,100
AS0258,S012,C017,2025-03-17,91,100
AS0259,S036,C019,2025-05-06,75,100
AS0260,S134,C012,2025-06-05,100,100
AS0261,S054,C004,2025-06-19,40,100
AS0262,S061,C002,2025-02-18,53,100
AS0263,S077,C007,2025-02-04,62,100
AS0264,S152,C012,2025-03-13,51,100
AS0265,S187,C020,2025-04-19,44,100
AS0266,S141,C009,2025-03-08,83,100
AS0267,S167,C006,2025-04-13,93,100
AS0268,S022,C009,2025-06-23,89,100
AS0269,S178,C005,2025-05-18,61,100
AS0270,S019,C009,2025-06-12,59,100
AS0271,S183,C012,2025-05-25,100,100
AS0272,S155,C006,2025-04-18,54,100
AS0273,S081,C014,2025-04-08,38,100
AS0274,S155,C008,2025-01-20,69,100
AS0275,S032,C018,2025-01-29,87,100
AS0276,S017,C011,2025-06-13,46,100
AS0277,S093,C011,2025-03-11,53,100
AS0278,S058,C009,2025-01-03,47,100
AS0279,S097,C008,2025-04-07,48,100
AS0280,S032,C006,2025-05-15,74,100
AS0281,S151,C016,2025-01-25,79,100
AS0282,S180,C019,2025-03-14,69,100
AS0283,S156,C004,2025-01-13,56,100
AS0284,S082,C013,2025-02-16,79,100
AS0285,S190,C018,2025-05-22,86,100
AS0286,S123,C019,2025-02-02,68,100
AS0287,S003,C017,2025-02-09,51,100
AS0288,S037,C013,2025-05-26,69,100
AS0289,S014,C012,2025-03-05,88,100
AS0290,S181,C015,2025-02-16,91,100
AS0291,S091,C015,2025-05-09,71,100
AS0292,S071,C014,2025-05-14,64,100
AS0293,S079,C003,2025-03-20,87,100
AS0294,S198,C011,2025-01-24,45,100
AS0295,S020,C008,2025-01-24,56,100
AS0296,S148,C002,2025-01-22,71,100
AS0297,S142,C016,2025-01-03,89,100
AS0298,S174,C017,2025-02-04,96,100
AS0299,S128,C017,2025-06-25,50,100
AS0300,S104,C001,2025-06-07,59,100
AS0301,S191,C001,2025-04-19,79,100
AS0302,S063,C017,2025-06-25,40,100
AS0303,S156,C015,2025-02-13,63,100
AS0304,S045,C003,2025-04-04,52,100
AS0305,S132,C012,2025-01-14,89,100
AS0306,S127,C013,2025-02-13,82,100
AS0307,S029,C011,2025-06-23,66,100
AS0308,S139,C004,2025-03-16,73,100
AS0309,S124,C010,2025-03-09,62,100
AS0310,S001,C019,2025-04-11,62,100
AS0311,S079,C017,2025-01-10,94,100
AS0312,S159,C016,2025-01-15,80,100
AS0313,S002,C020,2025-04-28,77,100
AS0314,S077,C012,2025-01-28,35,100
AS0315,S090,C006,2025-04-13,80,100
AS0316,S003,C004,2025-04-21,97,100
AS0317,S051,C003,2025-05-16,100,100
AS0318,S040,C014,2025-02-01,97,100
AS0319,S002,C005,2025-06-18,67,100
AS0320,S058,C016,2025-04-12,82,100
AS0321,S077,C012,2025-04-20,58,100
AS0322,S138,C009,2025-01-28,91,100
AS0323,S169,C015,2025-02-11,52,100
AS0324,S091,C014,2025-01-02,80,100
AS0325,S182,C007,2025-01-29,59,100
AS0326,S073,C002,2025-02-04,85,100
AS0327,S108,C011,2025-01-09,55,100
AS0328,S171,C007,2025-05-03,69,100
AS0329,S031,C014,2025-05-06,98,100
AS0330,S175,C005,2025-03-25,86,100
AS0331,S129,C013,2025-02-03,49,100
AS0332,S028,C001,2025-02-02,54,100
AS0333,S089,C017,2025-01-04,65,100
AS0334,S014,C011,2025-04-20,36,100
AS0335,S112,C016,2025-03-16,71,100
AS0336,S125,C003,2025-04-20,66,100
AS0337,S159,C005,2025-05-11,58,100
AS0338,S064,C009,2025-01-30,68,100
AS0339,S180,C008,2025-06-20,89,100
AS0340,S051,C016,2025-06-30,48,100
AS0341,S180,C017,2025-06-06,58,100
AS0342,S049,C019,2025-06-11,54,100
AS0343,S059,C004,2025-02-03,86,100
AS0344,S010,C009,2025-02-19,53,100
AS0345,S110,C001,2025-06-07,60,100
AS0346,S024,C002,2025-04-08,87,100
AS0347,S135,C010,2025-06-29,64,100
AS0348,S057,C011,2025-04-20,96,100
AS0349,S016,C017,2025-04-20,41,100
AS0350,S078,C004,2025-03-10,81,100
AS0351,S072,C012,2025-04-18,66,100
AS0352,S082,C002,2025-02-16,40,100
AS0353,S001,C002,2025-06-19,76,100
AS0354,S055,C010,2025-05-01,70,100
AS0355,S156,C004,2025-04-21,58,100
AS0356,S065,C016,2025-04-04,77,100
AS0357,S078,C004,2025-01-25,36,100
AS0358,S175,C018,2025-02-03,77,100
AS0359,S093,C012,2025-05-31,82,100
AS0360,S061,C009,2025-02-23,84,100
AS0361,S023,C004,2025-02-03,50,100
AS0362,S011,C019,2025-06-17,59,100
AS0363,S050,C015,2025-01-26,44,100
AS0364,S140,C020,2025-03-29,73,100
AS0365,S186,C016,2025-02-21,54,100
AS0366,S012,C005,2025-02-19,88,100
AS0367,S141,C009,2025-05-24,79,100
AS0368,S094,C015,2025-06-11,50,100
AS0369,S112,C003,2025-05-04,88,100
AS0370,S135,C017,2025-01-06,56,100
AS0371,S154,C009,2025-06-28,51,100
AS0372,S075,C002,2025-05-25,42,100
AS0373,S178,C007,2025-04-12,98,100
AS0374,S176,C018,2025-05-12,44,100
AS0375,S043,C015,2025-05-11,84,100
AS0376,S144,C013,2025-04-13,69,100
AS0377,S053,C006,2025-01-01,55,100
AS0378,S147,C007,2025-06-01,36,100
AS0379,S132,C015,2025-05-09,68,100
AS0380,S078,C008,2025-03-17,69,100
AS0381,S142,C004,2025-02-13,63,100
AS0382,S012,C018,2025-03-02,72,100
AS0383,S011,C005,2025-03-13,52,100
AS0384,S070,C002,2025-06-14,66,100
AS0385,S054,C018,2025-01-30,35,100
AS0386,S167,C012,2025-06-11,82,100
AS0387,S084,C003,2025-06-30,68,100
AS0388,S185,C005,2025-04-15,72,100
AS0389,S084,C002,2025-06-10,36,100
AS0390,S092,C008,2025-03-13,57,100
AS0391,S066,C001,2025-05-18,48,100
AS0392,S185,C013,2025-06-17,67,100
AS0393,S161,C020,2025-05-22,61,100
AS0394,S114,C008,2025-03-25,69,100
AS0395,S053,C019,2025-06-11,85,100
AS0396,S040,C015,2025-03-01,90,100
AS0397,S095,C005,2025-05-03,46,100
AS0398,S127,C006,2025-04-28,58,100
AS0399,S046,C007,2025-05-26,97,100
AS0400,S187,C006,2025-06-15,71,100
AS0401,S006,C010,2025-02-11,57,100
AS0402,S101,C020,2025-02-18,43,100
AS0403,S037,C003,2025-04-20,66,100
AS0404,S117,C013,2025-01-26,52,100
AS0405,S187,C001,2025-06-04,47,100
AS0406,S097,C013,2025-01-06,49,100
AS0407,S004,C002,2025-02-03,66,100
AS0408,S198,C003,2025-03-10,53,100
AS0409,S161,C020,2025-01-04,36,100
AS0410,S028,C018,2025-03-28,45,100
AS0411,S052,C005,2025-05-03,91,100
AS0412,S042,C010,2025-03-26,96,100
AS0413,S040,C008,2025-01-15,69,100
AS0414,S161,C018,2025-02-01,37,100
AS0415,S012,C004,2025-05-20,72,100
AS0416,S027,C017,2025-04-17,53,100
AS0417,S001,C008,2025-01-07,64,100
AS0418,S110,C013,2025-02-07,80,100
AS0419,S168,C010,2025-02-27,84,100
AS0420,S176,C004,2025-05-06,56,100
AS0421,S029,C008,2025-01-27,71,100
AS0422,S092,C003,2025-06-07,77,100
AS0423,S031,C012,2025-01-22,40,100
AS0424,S155,C005,2025-02-15,89,100
AS0425,S136,C011,2025-06-03,58,100
AS0426,S174,C014,2025-02-08,73,100
AS0427,S160,C010,2025-03-31,48,100
AS0428,S070,C016,2025-06-19,82,100
AS0429,S068,C003,2025-01-01,54,100
AS0430,S200,C005,2025-03-23,53,100
AS0431,S100,C015,2025-05-03,43,100
AS0432,S029,C019,2025-04-20,70,100
AS0433,S038,C003,2025-03-24,51,100
AS0434,S047,C013,2025-04-01,75,100
AS0435,S127,C014,2025-05-04,87,100
AS0436,S155,C011,2025-02-05,66,100
AS0437,S099,C014,2025-05-21,98,100
AS0438,S138,C018,2025-05-07,64,100
AS0439,S099,C003,2025-05-29,88,100
AS0440,S135,C019,2025-06-27,63,100
AS0441,S180,C003,2025-03-02,81,100
AS0442,S001,C007,2025-01-05,81,100
AS0443,S143,C016,2025-02-04,49,100
AS0444,S016,C012,2025-04-03,52,100
AS0445,S076,C015,2025-02-06,88,100
AS0446,S063,C007,2025-02-27,42,100
AS0447,S192,C005,2025-01-31,53,100
AS0448,S097,C001,2025-06-28,89,100
AS0449,S096,C002,2025-06-29,48,100
AS0450,S170,C019,2025-01-19,96,100
AS0451,S153,C006,2025-01-08,53,100
AS0452,S094,C005,2025-01-21,66,100
AS0453,S020,C001,2025-05-26,88,100
AS0454,S039,C006,2025-05-01,52,100
AS0455,S192,C017,2025-06-28,73,100
AS0456,S121,C014,2025-03-28,91,100
AS0457,S166,C001,2025-03-15,49,100
AS0458,S040,C002,2025-06-14,39,100
AS0459,S155,C006,2025-05-09,55,100
AS0460,S003,C013,2025-04-19,93,100
AS0461,S142,C009,2025-05-27,99,100
AS0462,S079,C008,2025-04-19,55,100
AS0463,S070,C003,2025-05-14,83,100
AS0464,S033,C007,2025-04-13,42,100
AS0465,S057,C013,2025-02-17,44,100
AS0466,S178,C015,2025-05-03,75,100
AS0467,S168,C013,2025-04-08,56,100
AS0468,S014,C012,2025-06-15,89,100
AS0469,S050,C009,2025-01-28,48,100
AS0470,S020,C012,2025-06-04,77,100
AS0471,S008,C008,2025-03-14,55,100
AS0472,S139,C004,2025-01-17,62,100
AS0473,S153,C001,2025-03-21,59,100
AS0474,S142,C007,2025-06-13,39,100
AS0475,S062,C009,2025-01-22,40,100
AS0476,S145,C016,2025-01-12,41,100
AS0477,S081,C003,2025-03-21,36,100
AS0478,S092,C010,2025-04-12,99,100
AS0479,S050,C011,2025-04-11,80,100
AS0480,S034,C004,2025-03-26,87,100
AS0481,S190,C017,2025-01-26,99,100
AS0482,S199,C005,2025-01-07,83,100
AS0483,S123,C019,2025-01-10,72,100
AS0484,S042,C005,2025-06-24,94,100
AS0485,S021,C003,2025-03-01,62,100
AS0486,S175,C005,2025-02-11,99,100
AS0487,S133,C020,2025-06-16,78,100
AS0488,S115,C005,2025-03-28,72,100
AS0489,S093,C020,2025-04-21,40,100
AS0490,S183,C013,2025-03-03,61,100
AS0491,S157,C020,2025-01-20,54,100
AS0492,S146,C016,2025-01-25,36,100
AS0493,S037,C010,2025-05-21,46,100
AS0494,S128,C004,2025-04-27,75,100
AS0495,S044,C010,2025-02-11,43,100
AS0496,S072,C019,2025-04-04,80,100
AS0497,S023,C003,2025-02-15,93,100
AS0498,S067,C016,2025-03-07,91,100
AS0499,S167,C005,2025-02-01,97,100
AS0500,S011,C012,2025-03-15,86,100
