hashtag_id,hashtag,category,times_used,avg_engagement
65,#tech,Travel,37170,8.53
66,#coding,Tech,6662,5.22
67,#books,Travel,48472,11.07
68,#gaming,Travel,11605,8.38
69,#fitness,Travel,4003,2.28
70,#fitness,Food,41994,14.49
71,#music,Tech,11746,11.47
72,#fashion,Lifestyle,15697,6.51
73,#travel,Lifestyle,25392,7.7
74,#fitness,Food,4930,12.39
75,#food,Travel,39030,14.81
76,#nature,Fitness,47419,14.03
77,#nature,Lifestyle,19403,12.71
78,#nature,Food,32153,13.63
79,#coding,Travel,37078,2.8
80,#nature,Fitness,45127,13.27
81,#books,Tech,7982,14.34
82,#fashion,Lifestyle,5803,7.05
83,#fitness,Fitness,38630,9.57
84,#books,Food,2555,4.24
85,#fashion,Lifestyle,22242,12.63
86,#nature,Fitness,42407,3.16
87,#nature,Tech,34459,13.43
88,#nature,Lifestyle,44741,2.4
89,#food,Travel,1898,7.03
90,#travel,Food,8771,10.42
91,#coding,Food,19901,10.8
92,#food,Food,4283,6.37
93,#nature,Travel,44714,3.82
94,#coding,Fitness,41932,12.2
95,#gaming,Tech,44645,13.69
96,#tech,Lifestyle,41675,9.59
97,#fitness,Tech,22557,7.32
98,#fitness,Fitness,10483,8.36
99,#travel,Travel,49700,12.83
100,#food,Lifestyle,19642,14.33
101,#nature,Lifestyle,15069,4.92
102,#travel,Fitness,3243,10.61
103,#travel,Travel,27682,10.6
104,#food,Food,13118,9.92
105,#fashion,Tech,279,2.17
106,#coding,Food,19500,5.43
107,#travel,Tech,43573,10.41
108,#nature,Food,27739,10.44
109,#fitness,Fitness,24987,12.13
110,#gaming,Fitness,47533,9.35
111,#gaming,Fitness,3676,2.15
112,#coding,Fitness,42260,6.92
113,#food,Food,27123,2.47
114,#tech,Travel,36810,11.98
115,#music,Fitness,34308,6.86
116,#nature,Tech,30052,12.72
117,#gaming,Tech,32791,2.06
118,#nature,Fitness,39825,13.48
119,#gaming,Travel,46073,9.12
120,#fitness,Fitness,35652,11.03
121,#nature,Lifestyle,34357,3.38
122,#music,Tech,49487,9.04
123,#music,Lifestyle,25107,7.04
124,#fashion,Fitness,35922,11.6
125,#gaming,Travel,8624,4.09
126,#books,Travel,32248,12.27
127,#nature,Lifestyle,22998,4.88
128,#fashion,Food,15851,13.76
129,#gaming,Travel,33805,12.44
130,#food,Tech,44031,10.18
131,#travel,Food,47080,6.31
132,#nature,Travel,1206,7.06
133,#music,Fitness,5769,5.66
134,#fitness,Travel,44486,13.53
135,#coding,Travel,13976,7.36
136,#gaming,Food,42349,9.15
137,#books,Lifestyle,12781,6.13
138,#fashion,Tech,14617,11.26
139,#food,Tech,42406,9.89
140,#travel,Fitness,38038,7.27
141,#music,Tech,30554,8.51
142,#fitness,Fitness,37181,10.57
143,#coding,Fitness,23774,7.05
144,#nature,Food,24040,9.64
145,#books,Lifestyle,32988,13.47
146,#coding,Food,21741,11.36
147,#gaming,Lifestyle,37604,3.91
148,#food,Tech,29538,9.88
149,#fashion,Food,39194,9.68
150,#tech,Fitness,39409,2.51
151,#nature,Fitness,27669,6.81
152,#food,Food,8874,5.31
153,#food,Fitness,571,6.88
154,#music,Food,49577,4.65
155,#food,Tech,29368,12.18
156,#travel,Lifestyle,9624,8.13
157,#music,Fitness,3865,14.29
158,#coding,Fitness,11207,10.76
159,#food,Lifestyle,36118,5.7
160,#music,Tech,26781,8.58
161,#tech,Food,37007,8.29
162,#coding,Travel,27128,14.42
163,#coding,Fitness,17734,4.38
164,#fashion,Tech,7091,3.56
165,#music,Food,12084,14.8
166,#fashion,Food,45079,12.09
167,#music,Tech,36050,5.42
168,#tech,Tech,37547,3.7
169,#travel,Tech,27724,8.49
170,#travel,Tech,16765,8.2
171,#fashion,Fitness,13138,9.5
172,#fitness,Tech,42081,12.5
173,#music,Fitness,42347,7.14
174,#music,Lifestyle,13900,4.17
175,#nature,Travel,15131,5.22
176,#tech,Fitness,17952,9.13
177,#fashion,Food,35467,4.95
178,#tech,Fitness,645,10.94
179,#nature,Tech,10800,11.29
180,#music,Travel,42597,11.66
181,#fashion,Lifestyle,10071,2.65
182,#nature,Travel,32762,14.97
183,#nature,Lifestyle,8092,14.67
184,#music,Travel,10494,10.18
185,#coding,Food,21367,2.2
186,#fashion,Lifestyle,16400,4.05
187,#fashion,Food,48150,4.51
188,#fitness,Fitness,22884,6.21
189,#gaming,Food,48180,4.41
190,#gaming,Tech,40276,5.68
191,#food,Lifestyle,37521,10.34
192,#tech,Lifestyle,30774,12.41
193,#music,Lifestyle,14249,14.49
194,#nature,Lifestyle,41952,9.5
195,#books,Food,23189,13.73
196,#music,Travel,29748,7.82
197,#music,Fitness,33606,9.23
198,#music,Lifestyle,37487,7.2
199,#books,Food,5243,12.14
200,#nature,Lifestyle,20074,8.82
201,#books,Fitness,6003,4.89
202,#fitness,Tech,31617,9.27
203,#books,Lifestyle,7474,10.73
204,#fitness,Food,3041,14.01
205,#music,Lifestyle,22596,11.02
206,#books,Tech,45652,11.08
207,#travel,Lifestyle,25570,10.58
208,#books,Fitness,5868,4.42
209,#fashion,Travel,41075,5.93
210,#nature,Tech,5853,11.49
211,#fitness,Tech,42860,3.8
212,#gaming,Fitness,47249,3.54
213,#music,Tech,12416,3.39
214,#tech,Tech,33020,13.0
215,#nature,Tech,48751,10.73
216,#travel,Fitness,48290,12.72
217,#coding,Fitness,35349,7.14
218,#music,Food,11010,7.49
219,#gaming,Tech,25860,7.38
220,#fitness,Lifestyle,6076,3.48
221,#fitness,Travel,37160,13.33
222,#fitness,Lifestyle,8722,14.49
223,#tech,Food,26979,7.74
224,#fitness,Lifestyle,43812,9.52
225,#gaming,Tech,29941,11.74
226,#fitness,Lifestyle,45622,13.17
227,#books,Travel,28087,9.91
228,#books,Tech,46537,5.78
229,#gaming,Tech,840,10.33
230,#books,Lifestyle,11610,4.52
231,#fashion,Food,27228,14.06
232,#food,Tech,18480,12.93
233,#fashion,Lifestyle,17892,7.38
234,#tech,Fitness,1734,12.39
235,#gaming,Tech,13547,11.42
236,#gaming,Travel,1573,9.51
237,#travel,Fitness,36775,8.68
238,#fashion,Fitness,29174,2.66
239,#tech,Fitness,23406,6.06
240,#tech,Lifestyle,29957,6.04
241,#fashion,Travel,29806,8.34
242,#food,Travel,36547,10.44
243,#coding,Fitness,28355,12.2
244,#gaming,Lifestyle,29277,4.29
245,#fitness,Fitness,49578,10.27
246,#books,Travel,28590,11.33
247,#travel,Lifestyle,46195,9.28
248,#fitness,Food,9214,4.45
249,#nature,Tech,5648,3.78
250,#coding,Tech,27937,9.86
251,#food,Fitness,31657,14.5
252,#tech,Lifestyle,44931,10.24
253,#fashion,Food,23228,14.49
254,#books,Tech,37642,2.67
255,#travel,Lifestyle,39672,4.27
256,#food,Tech,39129,14.14
257,#music,Lifestyle,3542,4.18
258,#music,Food,25135,10.82
259,#music,Lifestyle,16834,10.51
260,#travel,Lifestyle,4553,2.16
261,#books,Tech,39381,10.3
262,#music,Travel,30702,10.59
263,#music,Tech,28973,2.9
264,#tech,Travel,6869,2.45
265,#fashion,Food,37759,2.05
266,#tech,Lifestyle,37274,8.96
267,#tech,Travel,42553,4.64
268,#tech,Tech,9271,2.46
269,#travel,Lifestyle,22335,2.73
270,#books,Tech,4820,2.48
271,#music,Lifestyle,29996,9.95
272,#nature,Travel,8016,14.69
273,#fashion,Fitness,10913,7.7
274,#travel,Tech,5941,11.19
275,#travel,Fitness,11896,11.32
276,#gaming,Fitness,14470,8.03
277,#fashion,Travel,13835,7.65
278,#coding,Food,38943,9.54
279,#coding,Lifestyle,30966,9.61
280,#coding,Travel,8436,2.42
281,#books,Tech,37987,14.61
282,#coding,Tech,21549,7.65
283,#food,Food,32559,5.13
284,#fitness,Food,37480,11.71
285,#fashion,Fitness,2243,5.86
286,#fashion,Lifestyle,7372,6.98
287,#gaming,Lifestyle,42635,8.22
288,#tech,Food,32963,8.85
289,#food,Tech,30107,3.14
290,#travel,Travel,27398,14.6
291,#gaming,Travel,27080,9.52
292,#music,Tech,31835,6.83
293,#fitness,Tech,15691,3.52
294,#fitness,Fitness,19863,3.58
295,#music,Fitness,43805,3.91
296,#coding,Food,23522,3.2
297,#food,Fitness,25948,4.53
298,#music,Travel,23126,6.01
299,#nature,Tech,38581,9.77
300,#music,Food,11561,9.23
301,#tech,Fitness,48587,8.02
302,#tech,Tech,1964,3.55
303,#fashion,Fitness,48135,9.48
304,#fashion,Lifestyle,19096,5.79
305,#music,Travel,45021,11.07
306,#fitness,Lifestyle,14378,4.01
307,#travel,Food,22920,6.05
308,#fitness,Tech,20247,3.63
309,#books,Lifestyle,30841,3.55
310,#travel,Lifestyle,9639,13.0
311,#travel,Fitness,14321,11.31
312,#books,Tech,28913,10.76
313,#tech,Travel,46285,5.75
314,#gaming,Food,19144,14.8
315,#fitness,Food,26355,11.04
316,#books,Fitness,17989,11.83
317,#tech,Tech,41280,14.25
318,#books,Lifestyle,49918,2.99
319,#travel,Lifestyle,28307,13.44
320,#fitness,Food,28325,3.75
321,#travel,Food,17361,8.43
322,#books,Lifestyle,41070,6.44
323,#food,Travel,7601,6.39
324,#travel,Travel,24855,9.41
325,#music,Travel,28673,4.62
326,#books,Lifestyle,38888,6.38
327,#coding,Food,26465,5.27
328,#tech,Travel,41907,8.93
329,#nature,Food,20983,13.18
330,#fitness,Tech,1915,5.19
331,#music,Fitness,11633,10.38
332,#food,Food,47563,12.96
333,#food,Tech,39409,3.59
334,#tech,Food,16766,13.22
335,#tech,Travel,20296,2.27
336,#fashion,Lifestyle,35155,13.27
337,#fitness,Food,41476,6.12
338,#food,Tech,45875,5.39
339,#fitness,Lifestyle,26357,4.6
340,#tech,Food,48280,3.74
341,#travel,Lifestyle,36703,10.41
342,#fashion,Tech,37274,3.53
343,#tech,Food,8632,7.61
344,#coding,Travel,38301,10.9
345,#books,Travel,4887,3.24
346,#books,Food,19925,14.71
347,#fashion,Fitness,28472,3.84
348,#music,Fitness,20613,7.67
349,#tech,Travel,10818,11.18
350,#fashion,Lifestyle,13451,13.29
351,#nature,Lifestyle,16232,11.99
352,#travel,Lifestyle,30261,12.8
353,#books,Tech,13952,13.22
354,#nature,Lifestyle,1444,13.08
355,#fitness,Travel,43715,3.25
356,#books,Tech,28549,10.2
357,#music,Food,28762,3.03
358,#travel,Fitness,7153,8.64
359,#tech,Tech,12041,12.96
360,#fitness,Tech,12229,3.02
361,#books,Food,19944,10.04
362,#coding,Lifestyle,13812,8.25
363,#fitness,Food,31888,8.13
364,#nature,Food,32586,11.58
365,#travel,Fitness,1346,7.49
366,#fitness,Travel,47692,4.5
367,#music,Food,27419,12.83
368,#nature,Food,20000,5.05
369,#coding,Lifestyle,36930,4.91
370,#tech,Food,49629,3.44
371,#tech,Fitness,32762,11.52
372,#tech,Travel,18892,8.57
373,#nature,Food,26924,13.67
374,#fitness,Food,4128,7.11
375,#travel,Travel,34689,9.94
376,#nature,Tech,19861,3.1
377,#fitness,Lifestyle,1927,13.57
378,#travel,Lifestyle,29508,5.87
379,#books,Tech,46915,6.91
380,#food,Lifestyle,4175,7.52
381,#tech,Food,28941,10.96
382,#coding,Food,31121,2.42
383,#music,Travel,19974,5.82
384,#gaming,Travel,4527,13.32
385,#fitness,Fitness,41811,7.99
386,#travel,Food,48328,5.61
387,#books,Fitness,37904,11.85
388,#books,Food,5647,12.49
389,#nature,Travel,6065,3.49
390,#fashion,Tech,1880,11.27
391,#books,Fitness,15598,8.41
392,#travel,Travel,36411,14.53
393,#fashion,Fitness,11122,12.17
394,#tech,Travel,39281,5.26
395,#nature,Lifestyle,9252,11.43
396,#fashion,Travel,13903,7.98
397,#tech,Food,35366,3.05
398,#travel,Lifestyle,30423,6.82
399,#coding,Tech,32462,14.57
400,#gaming,Tech,43343,11.6
401,#music,Tech,44532,2.3
402,#fashion,Food,26765,5.56
403,#travel,Food,12853,6.35
404,#food,Lifestyle,31555,7.62
405,#food,Fitness,40703,7.7
406,#travel,Food,3690,5.92
407,#books,Fitness,795,7.89
408,#travel,Fitness,46846,2.88
409,#fitness,Travel,38407,7.67
410,#books,Tech,3856,5.09
411,#tech,Fitness,45478,6.3
412,#travel,Tech,45530,4.99
413,#travel,Fitness,7649,3.85
414,#fashion,Fitness,16219,4.32
415,#fashion,Tech,34632,14.7
416,#nature,Tech,3127,11.92
417,#tech,Tech,47764,3.06
418,#fashion,Fitness,45615,8.28
419,#coding,Food,14425,5.98
420,#tech,Fitness,40806,6.37
421,#fashion,Lifestyle,19401,12.95
422,#fashion,Travel,19938,11.69
423,#fashion,Food,26691,12.68
424,#gaming,Fitness,36316,11.85
425,#fitness,Fitness,8511,5.97
426,#travel,Fitness,2210,13.99
427,#coding,Food,7219,6.27
428,#coding,Lifestyle,25389,5.69
429,#food,Tech,35256,7.44
430,#gaming,Food,18151,4.62
431,#food,Travel,42455,13.45
432,#tech,Food,43293,4.38
433,#coding,Food,27053,14.9
434,#travel,Lifestyle,41968,11.03
435,#tech,Food,30335,2.89
436,#food,Fitness,48691,7.08
437,#gaming,Lifestyle,25699,10.97
438,#travel,Lifestyle,22193,12.67
439,#books,Tech,35601,7.14
440,#food,Travel,42694,10.11
441,#food,Fitness,21356,14.76
442,#books,Fitness,29519,6.97
443,#food,Lifestyle,9114,6.87
444,#fashion,Lifestyle,34235,12.29
445,#coding,Fitness,25101,8.78
446,#fitness,Fitness,36069,12.81
447,#music,Travel,37876,7.83
448,#nature,Tech,31688,2.26
449,#gaming,Fitness,31612,2.94
450,#fashion,Food,32183,6.0
451,#fashion,Fitness,46573,8.35
452,#travel,Tech,17226,9.87
453,#nature,Food,46372,9.62
454,#music,Food,49413,13.39
455,#music,Lifestyle,11136,12.61
456,#tech,Tech,33039,14.33
457,#books,Lifestyle,41809,4.16
458,#music,Lifestyle,43702,9.57
459,#fashion,Travel,44786,13.57
460,#nature,Tech,1782,9.82
461,#fashion,Lifestyle,41635,6.68
462,#tech,Lifestyle,48221,7.0
463,#gaming,Food,11113,13.65
464,#fashion,Food,18473,4.86
465,#books,Fitness,4338,10.37
466,#fashion,Fitness,12431,11.68
467,#nature,Travel,24022,12.37
468,#music,Tech,32857,10.84
469,#coding,Food,19203,11.15
470,#tech,Food,19701,14.8
471,#music,Tech,46047,13.13
472,#tech,Travel,9591,4.73
473,#fitness,Lifestyle,6394,6.62
474,#nature,Food,19937,10.94
475,#tech,Travel,860,3.56
476,#fitness,Food,31831,15.0
477,#gaming,Fitness,32118,2.83
478,#tech,Travel,8163,2.51
479,#fitness,Food,43233,2.0
480,#food,Lifestyle,15638,2.48
481,#music,Food,42683,13.75
482,#coding,Travel,37038,10.55
483,#food,Fitness,7308,10.89
484,#nature,Tech,24914,14.37
485,#music,Fitness,6592,13.66
486,#fitness,Travel,722,10.93
487,#coding,Fitness,27510,11.19
488,#food,Travel,26741,12.02
489,#tech,Lifestyle,27886,10.8
490,#travel,Food,46145,8.95
491,#coding,Tech,5023,6.77
492,#food,Travel,19706,8.28
493,#tech,Lifestyle,23414,2.08
494,#food,Fitness,33806,13.68
495,#gaming,Travel,7223,14.86
496,#fashion,Lifestyle,10606,10.66
497,#nature,Tech,7291,14.45
498,#travel,Food,31569,5.76
499,#nature,Tech,31157,11.18
500,#travel,Travel,12694,14.08
