follow_id,follower_id,following_id,follow_date
92,145,153,2024-12-16
93,411,415,2024-11-03
94,176,372,2024-12-31
95,380,133,2025-01-06
96,238,436,2024-03-01
97,446,438,2024-03-18
98,232,141,2024-04-17
99,103,375,2024-07-10
100,302,157,2024-03-26
101,97,85,2025-04-30
102,395,274,2024-11-15
103,106,356,2024-12-17
104,145,59,2025-02-05
105,353,478,2024-09-03
106,464,132,2024-11-25
107,389,456,2024-01-24
108,493,234,2024-05-19
109,292,348,2024-08-12
110,336,161,2024-01-07
111,198,77,2025-03-05
112,143,26,2024-09-16
113,382,335,2024-01-10
114,28,419,2024-04-24
115,325,494,2025-02-13
116,97,62,2025-04-21
117,235,338,2024-10-28
118,418,66,2024-02-23
119,212,309,2024-12-24
120,333,500,2025-05-05
121,274,147,2025-03-25
122,430,32,2024-12-19
123,408,409,2024-12-22
124,361,364,2024-11-27
125,21,220,2024-05-22
126,397,478,2024-11-16
127,213,279,2024-10-01
128,333,5,2024-02-28
129,145,13,2025-04-11
130,276,274,2024-01-04
131,383,352,2024-03-19
132,231,323,2024-07-26
133,149,403,2024-12-17
134,435,280,2024-05-31
135,485,44,2024-06-05
136,291,437,2024-01-28
137,121,52,2024-05-25
138,220,87,2024-01-03
139,157,250,2024-10-09
140,435,260,2024-11-19
141,396,302,2025-01-10
142,72,229,2024-03-22
143,120,22,2024-12-08
144,279,292,2024-03-30
145,250,406,2024-09-03
146,419,61,2024-12-04
147,304,83,2024-03-09
148,421,146,2025-04-29
149,86,371,2024-12-17
150,311,50,2024-03-31
151,481,397,2024-12-13
152,429,357,2024-10-21
153,4,296,2024-09-24
154,290,188,2024-11-09
155,204,377,2024-03-11
156,27,83,2024-07-18
157,315,336,2024-09-23
158,307,262,2024-09-21
159,103,266,2024-01-08
160,207,295,2024-01-03
161,295,129,2024-12-21
162,325,404,2024-04-22
163,244,161,2024-06-30
164,128,429,2024-11-12
165,452,460,2024-10-21
166,277,17,2024-09-14
167,186,314,2025-03-17
168,438,206,2024-05-23
169,379,77,2024-08-30
170,51,354,2024-03-24
171,11,211,2024-03-03
172,147,238,2024-11-19
173,163,335,2024-05-29
174,373,121,2024-12-04
175,317,80,2024-02-13
176,167,443,2024-08-31
177,274,159,2025-04-10
178,70,177,2024-05-26
179,452,288,2024-08-11
180,414,356,2024-12-16
181,319,252,2024-04-06
182,253,112,2024-06-24
183,459,431,2024-05-08
184,200,349,2025-05-07
185,112,499,2024-02-27
186,353,306,2024-03-20
187,120,163,2024-10-12
188,251,98,2024-10-17
189,233,1,2025-02-01
190,350,255,2025-01-27
191,55,249,2024-04-08
192,472,107,2024-12-01
193,21,376,2024-02-06
194,286,384,2024-10-12
195,337,81,2024-09-30
196,393,282,2025-04-19
197,439,162,2024-01-12
198,120,132,2025-02-19
199,329,154,2024-01-20
200,476,6,2024-11-20
201,229,386,2024-10-31
202,205,257,2024-08-10
203,221,166,2024-12-16
204,412,227,2024-11-15
205,318,475,2024-03-16
206,133,281,2024-09-04
207,139,28,2024-08-26
208,463,162,2024-09-05
209,81,10,2024-06-26
210,116,78,2024-06-23
211,169,230,2024-10-04
212,81,163,2024-02-04
213,421,458,2024-11-22
214,184,41,2024-12-18
215,8,474,2024-05-18
216,219,208,2025-02-01
217,424,450,2024-01-22
218,156,397,2025-02-27
219,399,300,2025-04-25
220,333,465,2024-12-30
221,195,23,2025-01-28
222,229,148,2024-11-16
223,112,302,2024-12-03
224,335,179,2024-01-19
225,305,294,2025-02-07
226,34,150,2024-08-29
227,45,248,2025-01-05
228,253,414,2024-04-02
229,24,171,2024-06-28
230,203,371,2024-10-18
231,443,275,2025-04-03
232,455,408,2024-06-30
233,158,362,2025-03-15
234,104,468,2024-02-17
235,394,447,2024-02-20
236,456,24,2024-02-22
237,81,141,2024-02-28
238,160,314,2025-04-01
239,304,323,2025-03-04
240,411,471,2024-12-23
241,359,470,2024-12-06
242,53,208,2025-02-22
243,197,34,2024-06-23
244,306,238,2024-06-15
245,32,47,2024-04-21
246,450,163,2024-06-02
247,462,282,2025-05-10
248,223,280,2024-04-18
249,370,454,2024-09-06
250,231,197,2024-06-30
251,248,361,2024-07-07
252,313,46,2024-05-05
253,241,294,2025-01-10
254,32,323,2024-08-30
255,141,440,2024-05-11
256,442,17,2024-06-24
257,177,28,2024-11-24
258,446,223,2024-01-07
259,140,172,2024-05-18
260,93,161,2024-10-07
261,48,30,2025-04-25
262,57,357,2024-04-04
263,171,31,2024-05-12
264,330,55,2025-04-12
265,137,78,2024-12-24
266,489,353,2025-02-22
267,175,42,2025-03-06
268,44,454,2024-11-19
269,416,231,2025-05-09
270,275,77,2025-01-14
271,89,324,2024-01-26
272,173,416,2025-03-03
273,388,213,2024-03-27
274,250,42,2024-01-04
275,481,90,2024-11-08
276,186,442,2025-01-24
277,473,23,2024-01-28
278,264,60,2024-02-06
279,446,103,2024-07-11
280,184,500,2024-05-18
281,152,310,2024-03-21
282,374,220,2025-01-11
283,246,415,2025-02-12
284,246,343,2024-06-05
285,322,37,2024-07-16
286,478,29,2024-09-20
287,71,172,2024-05-02
288,33,191,2024-06-25
289,415,482,2025-03-28
290,267,488,2024-11-17
291,411,119,2025-03-03
292,157,88,2025-02-08
293,499,90,2025-03-05
294,191,230,2024-10-03
295,362,152,2024-08-30
296,13,206,2024-11-12
297,435,229,2024-12-12
298,198,191,2024-01-07
299,460,218,2025-01-08
300,210,328,2025-04-13
301,428,300,2024-06-04
302,148,214,2024-04-01
303,356,419,2024-03-02
304,185,215,2024-11-21
305,424,433,2024-12-16
306,211,175,2025-04-16
307,60,420,2024-03-08
308,114,66,2025-03-14
309,407,338,2024-09-19
310,95,344,2024-06-28
311,51,420,2024-10-23
312,244,188,2024-12-23
313,57,267,2024-03-10
314,431,228,2024-04-25
315,347,44,2024-03-02
316,372,256,2024-05-22
317,63,129,2024-09-07
318,79,156,2024-11-14
319,441,277,2024-10-06
320,156,453,2024-12-27
321,438,81,2024-09-16
322,429,188,2024-06-27
323,44,467,2024-12-18
324,357,241,2024-10-28
325,174,86,2024-11-10
326,491,48,2025-01-02
327,340,277,2024-06-09
328,110,339,2025-05-07
329,392,154,2025-03-08
330,208,123,2024-02-28
331,15,133,2025-02-08
332,187,344,2024-12-02
333,129,255,2025-03-28
334,110,497,2024-05-20
335,480,75,2024-07-04
336,328,491,2024-12-24
337,121,153,2024-04-17
338,171,368,2024-08-04
339,95,323,2024-08-15
340,406,481,2024-06-12
341,453,293,2024-04-24
342,134,77,2024-02-15
343,137,148,2025-01-17
344,121,317,2024-08-18
345,363,217,2025-01-11
346,3,130,2024-09-15
347,240,68,2024-02-15
348,449,135,2024-11-09
349,118,94,2024-01-19
350,444,76,2024-03-04
351,393,293,2024-04-02
352,429,166,2024-03-19
353,167,486,2025-01-09
354,495,395,2025-03-19
355,463,351,2024-11-04
356,217,416,2024-07-07
357,332,269,2024-02-12
358,25,283,2024-02-09
359,59,380,2024-12-04
360,495,471,2025-03-22
361,236,355,2024-07-26
362,9,357,2025-05-11
363,60,86,2025-04-07
364,323,434,2024-12-31
365,445,250,2024-04-28
366,358,224,2024-01-11
367,240,68,2025-03-28
368,311,252,2024-02-21
369,221,59,2024-11-12
370,26,475,2025-04-29
371,81,373,2024-05-29
372,394,4,2024-05-05
373,404,117,2024-03-11
374,162,206,2025-01-30
375,161,466,2024-06-25
376,455,416,2025-02-04
377,175,388,2024-11-21
378,260,182,2024-03-04
379,154,146,2024-12-07
380,218,425,2024-07-29
381,447,136,2024-10-26
382,442,271,2024-03-01
383,79,61,2024-07-09
384,251,2,2024-03-03
385,311,68,2025-01-25
386,203,174,2024-10-03
387,287,44,2024-04-08
388,403,106,2024-05-05
389,441,271,2024-06-11
390,87,31,2024-11-10
391,27,104,2024-05-02
392,325,120,2025-04-12
393,401,496,2024-03-13
394,1,31,2025-04-22
395,36,154,2024-02-15
396,232,140,2024-05-05
397,89,212,2024-10-11
398,91,430,2025-01-28
399,321,156,2025-02-17
400,257,253,2024-03-28
401,117,452,2024-09-24
402,27,438,2025-04-25
403,273,230,2024-06-10
404,33,321,2024-11-16
405,267,407,2024-05-01
406,34,401,2024-03-06
407,211,120,2025-03-18
408,99,56,2024-02-22
409,409,23,2024-01-31
410,497,5,2024-09-22
411,342,244,2024-12-21
412,254,113,2025-04-16
413,6,38,2024-07-02
414,135,369,2024-03-30
415,234,123,2024-07-08
416,192,163,2024-11-02
417,496,300,2025-03-29
418,92,165,2024-12-30
419,459,104,2024-08-19
420,118,299,2024-01-22
421,136,331,2024-02-08
422,171,101,2024-12-11
423,154,145,2025-02-25
424,108,243,2024-04-29
425,286,16,2024-07-10
426,154,167,2024-10-27
427,33,274,2024-07-16
428,251,14,2024-04-05
429,211,201,2024-03-21
430,159,301,2024-04-13
431,295,21,2025-01-12
432,317,376,2024-08-09
433,342,470,2024-02-04
434,260,23,2024-08-24
435,70,168,2024-12-09
436,52,91,2024-05-30
437,227,357,2024-01-25
438,47,9,2024-08-03
439,288,321,2024-04-07
440,109,235,2024-04-22
441,88,129,2025-05-06
442,35,172,2024-01-10
443,388,125,2024-11-13
444,169,69,2024-05-22
445,411,352,2024-12-22
446,105,65,2024-02-16
447,91,311,2024-05-07
448,259,313,2025-01-11
449,233,146,2024-07-11
450,482,203,2025-05-11
451,395,468,2025-01-19
452,186,324,2024-12-27
453,330,365,2025-04-14
454,454,196,2024-10-27
455,384,204,2024-12-23
456,361,69,2024-04-11
457,226,321,2025-04-12
458,52,5,2024-02-01
459,173,310,2024-08-07
460,2,234,2025-03-21
461,2,327,2025-05-05
462,481,477,2025-04-27
463,45,155,2025-03-02
464,83,476,2025-04-20
465,447,115,2025-04-22
466,45,58,2024-02-15
467,98,434,2024-07-17
468,75,418,2025-04-27
469,245,324,2025-02-28
470,444,398,2024-04-01
471,271,373,2024-05-24
472,71,227,2024-12-22
473,193,487,2024-08-06
474,18,61,2024-05-03
475,333,196,2024-05-20
476,49,407,2024-10-30
477,11,202,2024-10-11
478,93,3,2024-10-11
479,187,495,2024-10-05
480,276,262,2024-04-17
481,39,282,2024-05-10
482,325,357,2024-11-26
483,127,40,2024-05-18
484,141,6,2024-02-20
485,444,145,2024-10-09
486,207,245,2024-10-30
487,190,363,2025-02-02
488,417,118,2024-06-05
489,147,284,2025-04-20
490,467,426,2025-01-16
491,452,392,2024-09-25
492,426,277,2025-03-11
493,238,457,2024-11-12
494,221,252,2024-04-11
495,220,457,2024-04-03
496,69,203,2024-08-03
497,452,205,2024-09-13
498,220,500,2024-11-01
499,359,127,2024-12-07
500,62,68,2024-07-24
